county,per_capita_income,population_density,pop_without_a2i,urban_pop_density,rural_pop_density,gt_50_internet,median_dl_speed,median_ul_speed,upper_quartile_dl,upper_quartile_ul,lower_quartile_dl,lower_quartile_ul,party_won
alabama_franklin_county,18559.0,49.511,33.0,1416.45,34.377,1,5.820666000000001,3.80452,7.744376,4.119961999999999,4.642414,3.618734,0.7918025930572982
alabama_geneva_county,20027.0,44.051,57.0,1081.98,39.678,1,3.6683325,4.152617499999999,5.9944999999999995,6.177899999999999,2.7544975000000003,2.344385,0.8548760614117848
alabama_greene_county,13956.0,12.491,99.0,0.0,12.491,0,2.371415,0.416755,13.39175,6.63679,1.5800800000000002,0.246525,0.17235705470999588
alabama_hale_county,18774.0,22.74,41.0,731.942,20.336,1,3.46094,0.485115,10.094655000000001,0.9866949999999999,0.40069999999999995,0.34863500000000003,0.39600499375780274
alabama_henry_county,22682.0,29.449,51.0,1290.76,25.768,1,8.18402,1.5193150000000002,9.8478375,1.859525,7.3212275,1.328275,0.7013845578146439
alabama_houston_county,23492.0,187.307,14.0,1345.94,69.176,1,7.538093333333333,2.6047049999999996,13.377508333333333,6.311106666666666,1.8810833333333334,1.0758483333333333,0.727266238401142
alabama_jackson_county,20055.0,46.828,13.0,901.651,36.349,1,1.6308300000000002,0.7080666666666667,6.086186666666667,3.657596666666666,0.70179,0.5760333333333333,0.8007216742843397
alabama_jefferson_county,26896.0,585.627,6.0,1460.79,90.564,1,8.188773333333334,2.30036,14.902726666666668,3.9646816666666673,3.3722333333333334,0.9304566666666668,0.45022077756444945
alabama_lamar_county,19094.0,21.528,68.0,0.0,21.528,1,0.740235,0.270505,1.15161,0.285645,0.5785600000000001,0.14062500000000003,0.8395613908526908
alabama_lauderdale_county,23975.0,142.196,32.0,1327.73,74.027,1,2.189394,1.033174,3.6551780000000003,1.965672,1.352114,0.8714000000000001,0.7145801664390797
alabama_lawrence_county,21093.0,47.274,40.0,859.15,43.305,1,11.6649075,1.6732799999999999,12.140135,1.8049324999999998,11.518065000000002,1.60254,0.7339123298912672
alabama_lee_county,24126.0,253.898,3.0,1449.4,78.402,1,20.217834999999997,8.674963333333332,25.470105,10.280751666666665,14.416885,7.56315,0.5951480890615246
alabama_limestone_county,25658.0,164.837,9.0,1002.07,102.181,1,2.3346,0.8435560000000001,5.1330979999999995,1.242692,1.0239099999999999,0.5949960000000001,0.7315736040609137
alabama_lowndes_county,18046.0,14.305,90.0,0.0,14.305,1,1.22974,0.531985,3.144535,0.92041,0.4780249999999999,0.24414000000000002,0.262282804074296
alabama_macon_county,17113.0,32.696,34.0,919.886,18.294,1,3.417685,0.87656,5.79495,1.2923725,1.2442775,0.5581625,0.15935070873342477
alabama_madison_county,32307.0,456.649,7.0,1525.42,97.577,1,10.490801666666668,5.261283333333334,55.56613166666666,10.634576666666666,5.573379999999999,3.18099,0.5593360631580268
alabama_marengo_county,22529.0,19.615,90.0,1200.39,13.463,1,1.0411866666666665,0.6109066666666667,1.31577,0.6347666666666666,0.8149799999999999,0.3048633333333333,0.47716477895506026
alabama_marion_county,20125.0,38.89,88.0,689.028,34.729,1,3.3983175,1.2882099999999999,4.5429625,1.4904775000000001,1.82996,1.13679,0.8730638166047088
alabama_marshall_county,20975.0,174.71,5.0,1120.29,98.903,1,4.770682,2.209358,8.036567999999999,3.2922420000000003,2.5402020000000003,1.748058,0.8356070356070356
alabama_mobile_county,23009.0,348.316,10.0,1501.91,85.651,1,7.164638333333335,2.4805183333333334,10.712159999999999,4.322463333333332,4.122696666666667,1.26955,0.5574923341514318
alabama_monroe_county,16273.0,20.697,47.0,870.425,16.416,1,1.106445,0.288145,4.64325,0.5641499999999999,0.39392499999999997,0.15185500000000002,0.5666175748649975
alabama_montgomery_county,25089.0,301.395,3.0,1969.65,34.403,1,5.939166666666666,3.187046666666667,12.954028333333332,5.611003333333333,2.522286666666667,1.7650400000000002,0.3587531193164996
alabama_morgan_county,24222.0,213.209,11.0,1233.99,91.102,1,7.506070000000001,1.0551766666666667,13.207536666666668,2.0543633333333333,2.65043,0.4561233333333334,0.7479746354343781
alabama_perry_county,12988.0,13.31,100.0,0.0,13.31,1,3.3776900000000003,0.530035,3.732425,0.568845,2.965335,0.30811,0.26698382492863937
alabama_pickens_county,17310.0,20.803,98.0,0.0,20.803,1,3.6322233333333336,0.9389766666666667,5.03353,0.9752833333333334,2.970543333333333,0.7024733333333334,0.574468085106383
alabama_pike_county,19424.0,48.812,10.0,1350.19,24.653,1,16.585615,4.1614925,27.503702500000003,20.314055000000003,14.552695000000002,1.3121125000000002,0.5897120921305182
alabama_randolph_county,19324.0,37.783,61.0,951.535,31.068,1,1.6392760000000002,1.0379299999999998,1.9808160000000001,1.3155519999999998,1.032518,0.88726,0.759822309970385
alabama_russell_county,19652.0,86.251,8.0,1520.1,31.087,1,1.6304966666666667,0.36022666666666664,2.4475900000000004,0.4713566666666667,0.85319,0.25521,0.4812918060200669
alabama_st._clair_county,23863.0,149.134,37.0,1076.23,112.26,1,4.342008,3.2752900000000005,5.482010000000001,3.385924,3.8666540000000005,3.1647179999999997,0.8324063579091652
alabama_shelby_county,33135.0,279.892,9.0,1365.12,72.283,1,8.125826,3.282528,13.153942,4.755961999999999,6.44769,2.665596,0.7342754616563181
alabama_sumter_county,14042.0,14.331,58.0,0.0,14.331,1,1.376465,0.56836,2.27783,0.6435550000000001,1.12695,0.23147,0.24737912689719918
alabama_talladega_county,19134.0,109.548,26.0,897.487,64.253,1,3.2135583333333333,5.2860483333333335,5.789745000000001,5.730731666666667,2.085815,4.32554,0.6200252874947317
alabama_tallapoosa_county,21034.0,56.689,8.0,1008.09,42.5,1,3.033716666666667,0.6829433333333333,7.16799,1.1986966666666667,1.5556633333333334,0.37663,0.700767401642888
alabama_tuscaloosa_county,23124.0,158.8,10.0,1619.97,43.514,1,8.40217,2.3384016666666665,18.54546333333333,5.837509999999999,3.486905,1.2824433333333334,0.5837984040730406
alabama_walker_county,20580.0,81.485,28.0,665.151,62.55,1,3.5975366666666666,0.58953,7.80371,1.2142066666666664,2.185503333333333,0.3891533333333333,0.8278220428820573
alabama_washington_county,20737.0,15.288,87.0,0.0,15.288,1,1.227415,0.17969000000000002,23.12207,9.093259999999999,0.98291,0.14746,0.7101978332548281
alabama_wilcox_county,13881.0,12.455,68.0,0.0,12.455,1,0.34119499999999997,0.17429,0.513865,0.28850000000000003,0.168525,0.060074999999999996,0.28498769483182934
alabama_winston_county,19078.0,38.363,85.0,960.012,32.941,1,3.3295933333333334,1.4736900000000002,4.166993333333333,2.67513,2.259576666666667,0.21126666666666663,0.8995611896635788
arizona_apache_county,12828.0,5.913,100.0,1083.18,4.259,0,1.547555,0.4300575,2.4489750000000003,0.608155,0.7924800000000001,0.315185,0.28484913446594134
arizona_cochise_county,23552.0,21.364,36.0,1978.64,7.53,1,2.804856,1.4934919999999998,6.3948920000000005,3.655274,1.0457100000000001,0.574974,0.5802489164947737
arizona_coconino_county,23459.0,7.095,39.0,1965.35,2.087,1,3.3454099999999998,1.709981666666667,9.058595,2.633643333333333,1.945266666666667,0.6384333333333333,0.36887088517438626
arizona_gila_county,20857.0,11.068,38.0,1599.25,4.553,1,5.19824,0.888725,7.9409175,1.3574125000000001,2.9147950000000002,0.631955,0.6389382185250958
arizona_graham_county,17687.0,8.606,31.0,1541.55,3.969,1,5.162915,1.4018074999999999,7.460205,2.1328125,2.1740975000000002,1.0971675,0.6721668481447357
arizona_greenlee_county,22334.0,4.686,40.0,1448.22,2.045,1,2.4265499999999998,0.3589425,3.4724125000000003,0.4655675,1.6005850000000001,0.3220225,0.5834104224483503
arizona_la_paz_county,21772.0,4.17,70.0,1387.71,2.318,1,1.7162279999999999,0.6754859999999999,2.531252,0.7717919999999999,0.5799540000000001,0.524214,0.685662137497465
arizona_maricopa_county,27477.0,448.856,7.0,3374.28,11.882,1,7.666650000000001,3.6080966666666665,18.063831666666665,7.318684999999999,2.6049683333333333,1.0215383333333332,0.4912624154071688
arizona_mohave_county,20709.0,15.554,20.0,1737.05,3.401,1,5.678066666666667,1.2309633333333334,9.070965000000001,2.9319450000000002,2.0986350000000003,0.770375,0.736712989796331
arizona_navajo_county,16355.0,10.42,52.0,1148.45,5.473,1,9.093338,5.11377,11.413867999999999,8.620125999999999,6.441177999999999,1.5980560000000001,0.513005168177582
arizona_pima_county,25524.0,113.077,9.0,2429.99,8.7,1,8.245558333333333,3.4292616666666667,18.166946666666664,7.784538333333333,2.6440250000000005,1.5463866666666668,0.4075235196611616
arizona_pinal_county,20983.0,83.171,28.0,2968.25,17.201,1,4.523096666666666,7.268394999999999,8.477788333333335,9.889326666666665,3.203276666666667,0.7167216666666666,0.5741378391343746
arizona_santa_cruz_county,17900.0,41.251,19.0,1456.89,10.022,1,1.505176,0.6414099999999999,3.2649480000000004,1.445016,0.8848740000000002,0.38974600000000004,0.24453972933136808
arizona_yavapai_county,25068.0,27.774,19.0,1662.9,8.947,1,3.387705,1.4549200000000002,7.262090000000001,2.1585283333333334,1.0366783333333334,0.6146433333333333,0.6344255227419703
arizona_yuma_county,18887.0,38.735,17.0,2813.16,3.721,1,7.573265,2.933385,10.223958333333334,3.19153,5.579401666666667,2.572246666666667,0.5050663657106406
arkansas_arkansas_county,23237.0,16.901,93.0,1539.23,5.533,1,7.0651075,4.804215000000001,9.07285,5.2161325000000005,4.7487375,4.4678675000000005,0.620236743959786
arkansas_ashley_county,19739.0,21.819,44.0,917.338,11.288,1,1.27362,0.7703466666666667,2.5327333333333333,0.9667966666666666,0.6745666666666668,0.58366,0.6650056060794818
arkansas_baxter_county,21693.0,79.387,32.0,1368.74,53.228,1,5.31625,1.9122349999999997,28.617185,17.87219,1.5189450000000002,0.8999025,0.7487737584304108
arkansas_benton_county,27522.0,306.505,11.0,1563.96,85.51,1,6.182671666666667,3.5785549999999997,11.832198333333332,6.0600983333333325,2.6341533333333333,0.9023983333333333,0.6444908871019075
arkansas_boone_county,21348.0,65.652,22.0,1311.9,41.549,1,19.77197333333333,3.7610666666666663,25.850863333333336,6.901973333333333,8.597013333333335,2.5966,0.7682880844645551
arkansas_bradley_county,20243.0,16.185,100.0,888.534,7.819,1,13.62549,1.2792949999999998,14.678714999999999,1.395505,13.431645,1.0942399999999999,0.5980094000552945
arkansas_calhoun_county,19755.0,7.542,96.0,0.0,7.542,1,2.7041,0.77246,2.9209,0.8623,0.00098,0.09375,0.6906666666666667
